   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.63116,             0.31422,             0.32514,              0.1798,            0.046524,            0.010226,            0.013129,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.64448,              0.3075,             0.31338,             0.16149,            0.048025,            0.010404,            0.014723,             0.01025,                0.01,             0.95662,             0.00055,               2.465,                 0.8,             0.09715,                0.05,              0.5687,             0.94922,             0.99763,                   1,                 0.2,                   4,                   0,             0.01536,             0.68737,              0.4505,                   0,              0.0864,             0.52936,                   0,                   0,                   0,                 0.5,             0.99665,                   0,                   0,                   3
             0.64933,             0.31202,             0.32194,             0.17089,            0.050989,           0.0083635,            0.012144,             0.00777,             0.01022,              0.9695,             0.00048,              2.3335,                0.95,             0.11012,             0.05725,             0.44865,              1.0095,              1.2368,                   1,                 0.2,              2.8953,                   0,               0.015,             0.65899,                 0.4,                   0,             0.10153,             0.46982,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,               3.622
              0.5649,             0.27048,             0.25291,             0.13027,            0.048908,           0.0090114,             0.01299,             0.00777,             0.01022,             0.95432,              0.0005,              2.4465,                0.95,             0.11012,             0.05189,             0.43365,             0.97898,              1.3018,             0.98408,                 0.2,              2.5636,                   0,             0.01487,             0.64679,             0.37354,                   0,             0.09839,             0.39228,                   0,                   0,                   0,                 0.5,             0.87922,                   0,                   0,              2.0416
             0.62769,             0.30751,             0.29972,             0.15581,            0.047491,            0.009845,            0.014393,             0.01025,             0.01003,             0.95662,             0.00055,              2.4625,             0.80028,             0.09776,                0.05,             0.56856,             0.95697,             0.99699,             0.99422,                 0.2,              3.9965,                   0,             0.01531,             0.68737,              0.4473,                   0,             0.08669,             0.52717,                   0,                   0,                   0,                 0.5,             0.99665,                   0,                   0,              3.0057
             0.68775,             0.31506,             0.33206,             0.17486,            0.041033,            0.011571,            0.014367,             0.00981,                0.01,             0.95662,             0.00055,              2.4168,             0.77492,             0.09908,             0.04297,             0.59391,             0.96602,             0.98141,             0.95475,                 0.2,              4.1972,                   0,             0.01565,             0.65365,              0.4473,                   0,             0.09297,               0.478,                   0,                   0,                   0,                 0.5,             0.95832,                   0,                   0,              2.2862
             0.63309,             0.29724,             0.29808,             0.14816,            0.048653,             0.01076,            0.014076,             0.01033,                0.01,             0.96754,             0.00055,               2.132,             0.69532,             0.07543,             0.04972,             0.54361,              1.0021,             0.85521,             0.97496,                 0.2,              4.3903,                   0,             0.01487,             0.82075,             0.40107,                   0,             0.07523,             0.51378,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.4615
             0.64181,             0.30689,              0.3095,             0.16137,            0.042467,            0.010824,            0.014347,             0.00712,                0.01,             0.96558,             0.00053,              2.3668,             0.66998,              0.0806,             0.04442,              0.5687,             0.90699,              1.0185,                   1,                 0.2,              3.6747,                   0,             0.01474,             0.63517,             0.47718,                   0,             0.08272,             0.52936,                   0,                   0,                   0,                 0.5,              0.9254,                   0,                   0,              2.2252
             0.65677,             0.29816,             0.31079,             0.16281,            0.051776,           0.0078001,             0.01115,             0.00777,             0.01072,             0.97489,             0.00048,              2.4873,             0.93939,             0.10852,             0.05725,             0.45056,             0.94678,              1.2131,             0.90924,                 0.2,              2.8953,                   0,             0.01537,             0.68914,             0.40195,                   0,              0.1097,             0.49179,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              4.0413
             0.56567,             0.26574,             0.24944,             0.12336,            0.064529,            0.008997,            0.013499,             0.00799,                0.01,             0.96752,             0.00043,              2.4866,                0.95,             0.11012,              0.0668,             0.44865,             0.96572,              1.1501,              0.8998,                 0.2,              2.9141,                   0,               0.015,             0.64084,             0.41411,                   0,              0.0898,             0.48524,                   0,                   0,                   0,                 0.5,             0.90282,                   0,                   0,              2.2603
             0.61897,             0.30952,             0.30721,             0.16117,            0.062175,           0.0082924,            0.012666,             0.00743,             0.01178,              0.9695,             0.00049,              2.5701,             0.72003,             0.11706,             0.06824,             0.44865,              1.1068,              1.1033,             0.87712,                 0.2,              3.1031,                   0,             0.01772,             0.65899,             0.41112,                   0,             0.12122,             0.56235,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,               4.229
