               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085814,            0.025311,            0.037055,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033297,           0.0033297,            0.070033
                   1,             0.06506,            0.022606,            0.024788,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0060034,           0.0060034,            0.039373
                   2,            0.062207,            0.021483,            0.021065,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0080171,           0.0080171,           0.0080537
                   3,            0.060003,            0.020454,            0.020202,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                   4,            0.057635,            0.019985,             0.01887,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                   5,            0.054706,             0.01989,            0.017281,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                   6,             0.05231,            0.019519,            0.015688,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                   7,            0.050226,            0.018718,            0.015043,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                   8,            0.048018,            0.018673,            0.013382,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                   9,            0.046476,            0.018206,            0.012868,             0.63116,             0.31422,             0.32514,              0.1798,            0.046524,            0.010226,            0.013129,             0.00208,             0.00208,             0.00208
                   0,            0.084436,            0.025101,            0.039113,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0041529,           0.0041529,            0.061941
                   1,            0.065861,            0.022016,            0.025824,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0074877,           0.0074877,            0.025871
                   2,            0.064958,            0.021957,            0.025337,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0082205,           0.0082205,           0.0082205
                   3,            0.062602,            0.021228,            0.023593,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0082205,           0.0082205,           0.0082205
                   4,            0.058978,            0.020547,            0.021347,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0072057,           0.0072057,           0.0072057
