               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08552,            0.025358,            0.037077,            0.024595,             0.32714,            0.073682,            0.029225,            0.066763,            0.014547,            0.027284,           0.0033297,           0.0033297,            0.070033
                   1,             0.06523,             0.02238,            0.024705,             0.44147,             0.20722,             0.12106,             0.04885,            0.061449,            0.012548,            0.018703,            0.006597,            0.006597,            0.039967
                   2,            0.063306,            0.021429,            0.021608,             0.49701,             0.19379,             0.15666,            0.064406,            0.060908,            0.011809,            0.018866,           0.0097984,           0.0097984,            0.009835
                   3,            0.061648,            0.020571,            0.021091,             0.48897,             0.20303,             0.14737,            0.059055,            0.060091,            0.012336,            0.018575,            0.009703,            0.009703,            0.009703
                   4,            0.059279,            0.020167,            0.019862,             0.54949,             0.21852,             0.19712,            0.085476,            0.057779,              0.0116,            0.017055,            0.009703,            0.009703,            0.009703
                   5,            0.056879,            0.020134,            0.018203,             0.53781,             0.23123,             0.20113,            0.085925,             0.05778,            0.011298,              0.0177,            0.009604,            0.009604,            0.009604
                   6,            0.055504,            0.019936,            0.017045,             0.61566,             0.27373,             0.26328,             0.11769,            0.053798,            0.011002,            0.015945,            0.009505,            0.009505,            0.009505
                   7,            0.054266,            0.019285,            0.016547,             0.54723,             0.24486,             0.23052,             0.10473,            0.054838,            0.011231,            0.015585,            0.009406,            0.009406,            0.009406
                   8,            0.053012,            0.019511,            0.015802,             0.58696,             0.27615,             0.25447,             0.11668,            0.054257,            0.010985,            0.014934,            0.009307,            0.009307,            0.009307
                   9,            0.052424,            0.019082,            0.015585,             0.62755,             0.28169,             0.27868,             0.13542,            0.052188,            0.010644,             0.01424,            0.009208,            0.009208,            0.009208
                  10,            0.051516,             0.01909,             0.01503,             0.64039,             0.28862,             0.29291,             0.14802,            0.050369,            0.010474,            0.013945,            0.009109,            0.009109,            0.009109
                  11,            0.050802,            0.018488,            0.014098,             0.62164,             0.25345,             0.25546,             0.12614,             0.05195,            0.011135,            0.014507,             0.00901,             0.00901,             0.00901
                  12,            0.050503,            0.018966,            0.014047,             0.65739,             0.31119,             0.30157,             0.14807,            0.050703,            0.011017,            0.013309,            0.008911,            0.008911,            0.008911
                  13,            0.049914,            0.018729,            0.013355,             0.64987,             0.30209,             0.30262,             0.15939,            0.048598,            0.010447,            0.012694,            0.008812,            0.008812,            0.008812
                  14,            0.049191,             0.01874,            0.013031,             0.61866,             0.32103,             0.31105,             0.15711,            0.048716,            0.010334,            0.013639,            0.008713,            0.008713,            0.008713
                  15,            0.048731,            0.018264,            0.012763,             0.64606,             0.31824,             0.31487,             0.15808,            0.049116,            0.010694,            0.013634,            0.008614,            0.008614,            0.008614
                  16,            0.048382,            0.018226,            0.012292,             0.67351,             0.28666,               0.308,             0.15738,            0.048557,            0.010554,            0.012316,            0.008515,            0.008515,            0.008515
                  17,            0.047556,            0.018234,            0.012181,             0.68982,              0.2936,             0.30738,             0.15643,             0.04862,            0.010291,             0.01266,            0.008416,            0.008416,            0.008416
                  18,            0.047169,            0.018012,            0.012099,             0.66245,             0.32378,             0.31924,             0.16797,            0.047614,            0.010192,             0.01227,            0.008317,            0.008317,            0.008317
                  19,            0.047287,            0.018148,            0.012067,             0.65916,             0.32702,             0.31799,             0.17165,            0.047258,            0.010277,            0.013052,            0.008218,            0.008218,            0.008218
                  20,            0.046462,            0.017713,            0.011234,             0.66387,             0.32854,             0.33272,             0.17891,            0.047008,            0.010032,            0.012285,            0.008119,            0.008119,            0.008119
                  21,            0.045896,            0.017823,            0.011119,             0.62545,             0.34904,             0.33202,             0.17813,            0.047155,           0.0099731,            0.011179,             0.00802,             0.00802,             0.00802
                  22,            0.046278,            0.017694,            0.011325,             0.68247,              0.3079,             0.31891,             0.17344,            0.047164,            0.010176,            0.012166,            0.007921,            0.007921,            0.007921
                  23,            0.046341,            0.017539,            0.011627,             0.71553,             0.32573,             0.34228,             0.17913,             0.04738,            0.010095,            0.012201,            0.007822,            0.007822,            0.007822
                  24,            0.045401,            0.017397,             0.01046,             0.66428,             0.34611,             0.35548,             0.18946,            0.045607,           0.0098026,            0.011664,            0.007723,            0.007723,            0.007723
                  25,            0.045271,            0.017349,            0.010506,             0.47446,             0.32645,             0.33772,             0.18194,            0.046155,           0.0099851,            0.011742,            0.007624,            0.007624,            0.007624
                  26,            0.044781,             0.01768,            0.010032,              0.5044,             0.35476,             0.35531,             0.19832,            0.045314,           0.0098859,            0.012401,            0.007525,            0.007525,            0.007525
                  27,            0.044657,            0.017377,           0.0098792,             0.53116,             0.33236,             0.35291,             0.19342,            0.045364,            0.010089,            0.011986,            0.007426,            0.007426,            0.007426
                  28,            0.044251,            0.017157,           0.0094526,             0.43349,             0.34588,             0.36155,             0.19501,             0.04539,           0.0099832,            0.012597,            0.007327,            0.007327,            0.007327
